Custom,Custom
Close,Close
Cancel,Cancel
Back,Back
Price,Price
ID,ID
Configure,Configure
No,No
Qty,Qty
Subtotal,Subtotal
"Incl. Tax","Incl. Tax"
Edit,Edit
"--Please Select--","--Please Select--"
Customer,Customer
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"-- Please Select --","-- Please Select --"
Yes,Yes
Status,Status
Enabled,Enabled
"Sort Order","Sort Order"
Title,Title
"Are you sure you want to do this?","Are you sure you want to do this?"
Order,Order
View,View
Active,Active
Position,Position
Dynamic,Dynamic
N/A,N/A
Canceled,Canceled
"General Information","General Information"
Static,Static
"Advanced Settings","Advanced Settings"
"Learn More","Learn More"
"Start Date","Start Date"
"Product Name","Product Name"
"3D Secure Card Validation","3D Secure Card Validation"
"Merchant Liability","Merchant Liability"
"Billing Information","Billing Information"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
Password,Password
Continue,Continue
"Order #","Order #"
Login,Login
"Shipping Address","Shipping Address"
"Payment Method","Payment Method"
"Place Order","Place Order"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
Sales,Sales
Created,Created
Display,Display
User,User
Daily,Daily
Date,Date
"Order Total","Order Total"
Never,Never
Updated,Updated
Reports,Reports
"Order Status","Order Status"
"View Order","View Order"
Event,Event
"Please Select","Please Select"
"Submitting order information...","Submitting order information..."
Authorization,Authorization
"You notified customer about invoice #%1.","You notified customer about invoice #%1."
"Note: %1","Note: %1"
"IPN ""%1""","IPN ""%1"""
"Billing Agreements","Billing Agreements"
"Reference ID","Reference ID"
"Billing Agreement # ","Billing Agreement # "
"Related Orders","Related Orders"
"Billing Agreement View","Billing Agreement View"
"View Transaction Details","View Transaction Details"
"Reference Information","Reference Information"
"Transaction Information","Transaction Information"
